Step,random,lfu,lru,a3c
131,62.99971667,43.13441483,48.18604319,51.85625354
132,63.09038107,46.79026651,48.74088374,50.64799095
133,64.15002125,46.94959444,48.82096382,51.52518393
134,65.2493271,48.52838934,48.48634349,51.7770232
135,63.45587194,43.74565469,48.76662377,51.38370119
136,63.88086131,47.77520278,48.64650365,51.45727221
137,64.2293526,51.78447277,48.68368368,51.72043011
138,64.01969117,47.00463499,48.90676391,51.72043011
139,64.47301317,48.22421784,48.92106392,50.74419921
140,63.39920669,47.41599073,48.40912341,51.75155631
141,64.58351041,44.39165701,48.58358358,51.04980192
142,63.77319734,46.40208575,48.74946375,52.21561969
143,66.02564103,50.97045191,48.71800372,50.5319751
144,64.03669075,49.19756663,49.14414414,50.87436333
145,64.65717524,45.25782155,49.03832404,51.37238257
146,64.39651509,45.29837775,49.0955241,51.09790606
147,64.42484771,43.06778679,48.54640355,51.38087153
148,63.44453889,45.2838934,48.86672387,51.49971703
149,65.38815696,49.7769409,48.47490347,51.09224675
150,62.90338575,48.9165701,48.45774346,51.32144878
151,63.96302592,47.07415991,48.5006435,51.59309564
152,62.71639042,48.71089224,49.22136422,51.11205433
153,62.960051,46.35863268,48.82382382,51.01018676
154,64.15285451,48.59212051,48.91534392,51.37521222
155,64.26901827,46.06025492,48.96968397,51.98641766
156,63.13571327,46.66570104,48.30616331,51.61007357
157,64.65434197,48.89339513,48.51780352,51.78834182
158,63.34820796,48.89339513,48.6951237,51.08092813
159,64.07918969,47.63325608,48.97254397,50.33955857
160,63.2547103,45.74159907,48.52066352,50.88002264
161,64.82717099,48.74855156,48.68082368,49.69722694
162,65.47032158,49.67844728,48.77520378,50.24335031
163,63.75903102,52.37253766,49.001144,50.54329372
164,63.86952826,43.2184241,48.73230373,50.42727787
165,64.65150871,45.05214368,49.11554412,49.4368987
166,63.28870945,45.21726535,48.84670385,50.47821166
167,63.94035982,47.07705678,49.02974403,50.02546689
168,63.5493696,50.75028969,48.76948377,50.30277306
169,64.10468905,51.11529548,48.68940369,50.80362196
170,63.71086556,46.45422943,48.5006435,50.82342954
171,63.3680408,46.71205098,48.82096382,50.34238823
172,64.15568777,47.88818076,48.84098384,49.02659875
173,64.52117864,49.88412514,48.51208351,50.76117714
174,63.34820796,47.35515643,48.65222365,50.07640068
