Step,random,lfu,lru,a3c
134,0.208811446,0.469582851,0.403260403,0.399688738
135,0.219152855,0.416135574,0.402402402,0.392190153
136,0.218869528,0.434820394,0.403832404,0.395302773
137,0.215611276,0.414542294,0.403689404,0.397425014
138,0.221561128,0.436848204,0.401115401,0.399122807
139,0.217027908,0.430909618,0.402116402,0.397566497
140,0.220852812,0.430764774,0.407121407,0.395302773
141,0.218302876,0.431923523,0.400686401,0.39360498
142,0.219719507,0.438586327,0.405548406,0.389077533
143,0.21306134,0.436123986,0.399113399,0.411007357
144,0.220711149,0.445393975,0.403546404,0.410299943
145,0.216319592,0.450608343,0.402545403,0.401245048
146,0.216886245,0.446263036,0.4002574,0.403650255
147,0.219436181,0.439600232,0.401401401,0.405913978
148,0.214619635,0.446407879,0.398541399,0.400537634
149,0.210369741,0.425115875,0.404976405,0.411290323
150,0.222977759,0.450173812,0.406978407,0.406055461
151,0.222694433,0.433371958,0.404833405,0.401528014
152,0.224961043,0.430909618,0.401973402,0.404074703
153,0.229210936,0.437282735,0.400686401,0.404640634
154,0.213203003,0.39165701,0.403546404,0.404499151
155,0.214761298,0.403534183,0.406549407,0.401103565
156,0.22212778,0.438151796,0.410553411,0.413695529
157,0.214761298,0.426419467,0.405119405,0.399688738
158,0.230202578,0.430475087,0.402545403,0.406762875
159,0.223686075,0.431488992,0.397826398,0.408177702
160,0.222977759,0.446118192,0.403260403,0.416242218
161,0.210653067,0.432502897,0.401544402,0.418222977
162,0.209094773,0.421349942,0.402545403,0.419779287
163,0.21306134,0.431488992,0.400972401,0.411573288
164,0.217169571,0.434385863,0.402402402,0.408319185
165,0.213769656,0.448146002,0.399256399,0.406904358
166,0.222411106,0.447421784,0.402402402,0.413129598
167,0.224961043,0.43264774,0.400686401,0.410299943
168,0.224677716,0.418163384,0.401115401,0.411714771
169,0.215044624,0.399913094,0.402259402,0.403650255
170,0.228502621,0.437717265,0.408837409,0.415110357
171,0.224677716,0.43873117,0.405405405,0.410299943
172,0.215894603,0.434385863,0.402116402,0.417798529
173,0.219719507,0.421494786,0.408265408,0.407470289
174,0.226236011,0.43670336,0.408122408,0.41114884
175,0.215611276,0.422508691,0.402688403,0.428268251
176,0.217877886,0.430764774,0.401258401,0.430390492
177,0.221419465,0.446552723,0.4002574,0.423174873
178,0.208103131,0.437427578,0.405119405,0.425014148
179,0.216886245,0.397885284,0.405548406,0.424731183
180,0.228785947,0.418308227,0.406549407,0.425297114
181,0.219577844,0.443511008,0.404833405,0.433078664
182,0.228219295,0.446987254,0.396682397,0.437040181
183,0.226944326,0.446263036,0.407693408,0.438879457
184,0.221844454,0.450753187,0.402688403,0.430673458
185,0.224111064,0.451332561,0.41012441,0.43491794
186,0.22481938,0.449304751,0.401830402,0.427277872
187,0.218869528,0.447421784,0.403403403,0.43180532
188,0.213344666,0.448146002,0.404547405,0.434776457
189,0.210369741,0.434096176,0.411411411,0.428692699
190,0.229210936,0.434820394,0.403832404,0.437889078
191,0.222694433,0.417294322,0.405834406,0.447934352
192,0.219294518,0.442931634,0.403975404,0.450622524
193,0.225386032,0.424391657,0.404833405,0.448924731
194,0.216036266,0.435979143,0.401544402,0.441992077
195,0.211644709,0.436558517,0.403546404,0.446943973
196,0.214052982,0.43467555,0.408408408,0.441992077
197,0.21348633,0.431488992,0.401973402,0.449349179
198,0.212778014,0.43221321,0.397969398,0.444114318
199,0.221136138,0.432792584,0.403689404,0.441850594
200,0.221561128,0.425984936,0.403975404,0.446661007
201,0.225102706,0.435399768,0.396253396,0.44524618
202,0.217736223,0.437717265,0.403689404,0.446661007
203,0.227510979,0.433806489,0.403689404,0.447934352
204,0.220144496,0.437717265,0.398112398,0.449773628
205,0.22028616,0.427867903,0.402545403,0.451188455
206,0.213627993,0.43424102,0.401973402,0.445953594
207,0.227935968,0.427723059,0.398541399,0.455432937
208,0.213911319,0.429895713,0.401687402,0.453027731
209,0.219011191,0.448580533,0.398970399,0.45557442
210,0.22212778,0.438151796,0.404833405,0.445104697
211,0.218727865,0.405272306,0.403403403,0.452037351
212,0.219719507,0.410486674,0.400543401,0.452886248
213,0.215894603,0.437137891,0.406406406,0.452320317
214,0.205553195,0.422798378,0.405977406,0.450339559
215,0.214336308,0.436848204,0.401830402,0.450622524
216,0.216319592,0.448290846,0.405691406,0.446661007
217,0.207253152,0.454229432,0.404547405,0.453027731
218,0.224111064,0.444235226,0.401258401,0.459111488
219,0.228219295,0.439165701,0.404261404,0.457838144
220,0.223686075,0.447132097,0.396539397,0.458828523
221,0.212353025,0.419466976,0.404404404,0.452037351
222,0.220994475,0.426274623,0.395967396,0.452603282
223,0.220994475,0.43221321,0.406692407,0.451754386
224,0.212636351,0.450173812,0.402688403,0.456423316
225,0.220002833,0.42410197,0.3998284,0.449207697
226,0.210369741,0.432502897,0.401973402,0.451329938
227,0.214477971,0.426709154,0.402688403,0.453876627
228,0.224536053,0.441772885,0.402545403,0.449632145
229,0.217877886,0.449884125,0.407121407,0.455715903
230,0.212778014,0.449159907,0.402402402,0.450339559
231,0.213911319,0.430909618,0.397397397,0.452178834
232,0.216886245,0.442641947,0.404976405,0.45090549
233,0.217736223,0.437282735,0.408408408,0.45147142
234,0.216177929,0.435689455,0.405262405,0.443548387
235,0.222977759,0.433951333,0.404690405,0.456423316
236,0.221561128,0.389918888,0.4004004,0.455857385
237,0.222977759,0.429750869,0.40969541,0.444680249
238,0.221986117,0.443221321,0.405119405,0.455291454
239,0.213627993,0.432068366,0.403689404,0.456423316
240,0.215894603,0.439600232,0.402688403,0.451895869
241,0.214619635,0.448435689,0.401544402,0.4524618
242,0.220427823,0.433806489,0.403975404,0.450764007
243,0.214477971,0.447711472,0.406263406,0.452320317
244,0.206828163,0.447856315,0.399113399,0.455715903
245,0.205411531,0.398464658,0.404261404,0.455998868
246,0.219294518,0.433371958,0.3998284,0.452178834
247,0.222836096,0.437717265,0.406692407,0.445670628
248,0.219436181,0.438441483,0.401830402,0.446095076
249,0.221702791,0.417004635,0.413699414,0.455857385
250,0.216744581,0.442497103,0.405691406,0.462931522
251,0.218444539,0.416570104,0.401687402,0.449773628
252,0.229777589,0.436558517,0.401830402,0.453593662
253,0.219152855,0.437137891,0.401830402,0.458121109
254,0.220144496,0.401651217,0.403689404,0.452886248
255,0.215469613,0.437282735,0.404404404,0.455715903
256,0.220002833,0.420480881,0.402974403,0.442275042
257,0.212069698,0.428302433,0.4002574,0.448641766
258,0.220427823,0.433516802,0.403689404,0.452603282
259,0.217027908,0.428736964,0.402402402,0.451046972
260,0.210511404,0.433516802,0.3996854,0.443972835
261,0.219577844,0.414687138,0.406835407,0.445812111
262,0.214477971,0.4448146,0.401544402,0.447085456
263,0.211644709,0.443076477,0.404976405,0.451895869
264,0.217736223,0.449159907,0.406263406,0.451612903
265,0.22481938,0.414252607,0.403832404,0.443123939
266,0.226661,0.4301854,0.3999714,0.453027731
267,0.230060915,0.434096176,0.40983841,0.449632145
268,0.209803088,0.435544612,0.412269412,0.453452179
269,0.21575294,0.401071842,0.402831403,0.443265422
270,0.218869528,0.462775203,0.402545403,0.448783248
271,0.209236436,0.433082271,0.408408408,0.449490662
272,0.209378099,0.398319815,0.404261404,0.442416525
273,0.215044624,0.448290846,0.400972401,0.450056593
274,0.21801955,0.443221321,0.401687402,0.443548387
275,0.214619635,0.428447277,0.406120406,0.440152801
276,0.220994475,0.439020857,0.405405405,0.444680249
277,0.216744581,0.426709154,0.4002574,0.445953594
278,0.221986117,0.429606025,0.404976405,0.453876627
279,0.221419465,0.437862109,0.402974403,0.435625354
280,0.229777589,0.430475087,0.398827399,0.44680249
281,0.215186287,0.437717265,0.406120406,0.456989247
282,0.216602918,0.430909618,0.402545403,0.453169213
283,0.210653067,0.445393975,0.41012441,0.446236559
284,0.21306134,0.405127462,0.403117403,0.443972835
285,0.208669783,0.418453071,0.399399399,0.450622524
286,0.217311234,0.443800695,0.402402402,0.446943973
287,0.208386457,0.43061993,0.4004004,0.447934352
288,0.223686075,0.447421784,0.403546404,0.445953594
289,0.222269443,0.43670336,0.403117403,0.447792869
290,0.217877886,0.451042874,0.406263406,0.440294284
291,0.234310809,0.449449594,0.402974403,0.450481041
292,0.221419465,0.436413673,0.401258401,0.44991511
293,0.220569486,0.450028969,0.397826398,0.441143181
294,0.218586202,0.43873117,0.398255398,0.447085456
295,0.219719507,0.436848204,0.406263406,0.442982456
296,0.22212778,0.417873696,0.401115401,0.444680249
297,0.214761298,0.428302433,0.401544402,0.45147142
298,0.231052557,0.43424102,0.404976405,0.45147142
299,0.221844454,0.434096176,0.401973402,0.442699491
300,0.223969401,0.445249131,0.4004004,0.448924731
301,0.214052982,0.431923523,0.4004004,0.447368421
302,0.220427823,0.436558517,0.404118404,0.4524618
303,0.233035841,0.427867903,0.401973402,0.444114318
304,0.230060915,0.435399768,0.404261404,0.453593662
305,0.217311234,0.439455388,0.406120406,0.450056593
306,0.222269443,0.435110081,0.402688403,0.455291454
307,0.221561128,0.449015064,0.402402402,0.451329938
308,0.223827738,0.437717265,0.400686401,0.45713073
309,0.224961043,0.436123986,0.403403403,0.451612903
310,0.214477971,0.43467555,0.405405405,0.460526316
311,0.212919677,0.436123986,0.408122408,0.453876627
312,0.210936393,0.449594438,0.407121407,0.447368421
313,0.222694433,0.449449594,0.3995424,0.448783248
314,0.222411106,0.437862109,0.405691406,0.44991511
315,0.215469613,0.435110081,0.406692407,0.457555178
316,0.223686075,0.436413673,0.399399399,0.445670628
317,0.222411106,0.426709154,0.403546404,0.447792869
318,0.213627993,0.43829664,0.401973402,0.449490662
319,0.219719507,0.440034762,0.404976405,0.44368987
320,0.235302451,0.405417149,0.403117403,0.436615733
321,0.230485905,0.448435689,0.402545403,0.437889078
322,0.223119422,0.428881808,0.402545403,0.437323147
323,0.21532795,0.432358053,0.403117403,0.450056593
324,0.224677716,0.437572422,0.404833405,0.449207697
325,0.219436181,0.400347625,0.403546404,0.451612903
326,0.208103131,0.42207416,0.403975404,0.445104697
327,0.235019125,0.443366165,0.404690405,0.448783248
328,0.210511404,0.444669757,0.402259402,0.444821732
329,0.214336308,0.435544612,0.407693408,0.454584041
330,0.220427823,0.445104287,0.4004004,0.445812111
331,0.214052982,0.428736964,0.402402402,0.454867006
332,0.205694858,0.449015064,0.403260403,0.447368421
333,0.210511404,0.447132097,0.402402402,0.444255801
334,0.21306134,0.434096176,0.401687402,0.448924731
335,0.228077631,0.427143685,0.401830402,0.450198076
336,0.203569911,0.450608343,0.401973402,0.447792869
337,0.209944751,0.438586327,0.408408408,0.451612903
338,0.225244369,0.423377752,0.404833405,0.4483588
339,0.223969401,0.423812283,0.3999714,0.453593662
340,0.20626151,0.445104287,0.401830402,0.449632145
341,0.21801955,0.44684241,0.404976405,0.446095076
342,0.216602918,0.393105446,0.404118404,0.451046972
343,0.21759456,0.447566628,0.401544402,0.449490662
344,0.223969401,0.437137891,0.404261404,0.455291454
345,0.21079473,0.437862109,0.404833405,0.453310696
346,0.217452897,0.43264774,0.408980409,0.444680249
347,0.226094348,0.439310545,0.397254397,0.456140351
348,0.226377674,0.429316338,0.403689404,0.457413696
349,0.207536478,0.426998841,0.401687402,0.45090549
350,0.210369741,0.433516802,0.406835407,0.458404075
351,0.221277801,0.430330243,0.404976405,0.436049802
352,0.221986117,0.424971031,0.402116402,0.453310696
353,0.21986117,0.399044032,0.403403403,0.450622524
354,0.221561128,0.435110081,0.406549407,0.45090549
355,0.224677716,0.459588644,0.406835407,0.451046972
356,0.230344241,0.445828505,0.406835407,0.451895869
357,0.225952685,0.435979143,0.405691406,0.448075835
358,0.210086415,0.434530707,0.405834406,0.451329938
359,0.225527695,0.428012746,0.405548406,0.448075835
360,0.220994475,0.43424102,0.403117403,0.450764007
361,0.208386457,0.451332561,0.405405405,0.457413696
362,0.209803088,0.425840093,0.404547405,0.450339559
363,0.219011191,0.42410197,0.392821393,0.453593662
364,0.210228078,0.448435689,0.407407407,0.45401811
365,0.211078056,0.452056779,0.401830402,0.453169213
366,0.210369741,0.429606025,0.405691406,0.446519525
367,0.21801955,0.424826188,0.401830402,0.443406904
368,0.219719507,0.435979143,0.406120406,0.446661007
369,0.219436181,0.405127462,0.407979408,0.446661007
370,0.21986117,0.43670336,0.404833405,0.441567629
371,0.224677716,0.449015064,0.407550408,0.452320317
372,0.229210936,0.451767092,0.404690405,0.451612903
373,0.221136138,0.432937428,0.404547405,0.448075835
374,0.219577844,0.43264774,0.401973402,0.450764007
375,0.213769656,0.438876014,0.406263406,0.441426146
376,0.229069273,0.449594438,0.404547405,0.45147142
377,0.211503046,0.435544612,0.403546404,0.446519525
378,0.213769656,0.437862109,0.404833405,0.445953594
379,0.20895311,0.436993048,0.406263406,0.445953594
380,0.224111064,0.448435689,0.405405405,0.455715903
381,0.222977759,0.43061993,0.402402402,0.444114318
382,0.211644709,0.431199305,0.399399399,0.453593662
383,0.228644284,0.404982619,0.402259402,0.452886248
384,0.209519762,0.420191194,0.400543401,0.441001698
385,0.212069698,0.449015064,0.405834406,0.440435767
386,0.221136138,0.428012746,0.398255398,0.445529145
387,0.222269443,0.422943221,0.397826398,0.443831353
388,0.215186287,0.434820394,0.404690405,0.453452179
389,0.212778014,0.456112399,0.404261404,0.455291454
390,0.224677716,0.441628042,0.404833405,0.453169213
391,0.216319592,0.448290846,0.398970399,0.446943973
392,0.216036266,0.433516802,0.402402402,0.446378042
393,0.214336308,0.443076477,0.402688403,0.454584041
394,0.219152855,0.43626883,0.401687402,0.442840973
395,0.225386032,0.435979143,0.40969541,0.450056593
396,0.216602918,0.43424102,0.401687402,0.447368421
397,0.217311234,0.448725377,0.405834406,0.452603282
398,0.212636351,0.451187717,0.403975404,0.441284663
399,0.225527695,0.435399768,0.402688403,0.445387663
400,0.218869528,0.422653534,0.404547405,0.450764007
401,0.216319592,0.423667439,0.4002574,0.451754386
402,0.213769656,0.432068366,0.405834406,0.452886248
403,0.220852812,0.433951333,0.395395395,0.451612903
404,0.220711149,0.448290846,0.411268411,0.446519525
405,0.220144496,0.438006952,0.409409409,0.458970006
406,0.219719507,0.44887022,0.3996854,0.451612903
407,0.222411106,0.457271147,0.402974403,0.454442558
408,0.218869528,0.44438007,0.405977406,0.454442558
409,0.216886245,0.423522596,0.406406406,0.455857385
410,0.214052982,0.407589803,0.401401401,0.460667799
411,0.216036266,0.458429896,0.402974403,0.453169213
412,0.221136138,0.443945539,0.402974403,0.449490662
413,0.225244369,0.43221321,0.399113399,0.461658178
414,0.215044624,0.43264774,0.402831403,0.45401811
415,0.213769656,0.444090382,0.406120406,0.453310696
416,0.22481938,0.439745075,0.404690405,0.460101868
417,0.224111064,0.429026651,0.402974403,0.45557442
418,0.217452897,0.448146002,0.403260403,0.456140351
419,0.212778014,0.43221321,0.3995424,0.463073005
420,0.216319592,0.437282735,0.406120406,0.456989247
421,0.212636351,0.436123986,0.404118404,0.460950764
422,0.226094348,0.391512167,0.401973402,0.45868704
423,0.222411106,0.440179606,0.403689404,0.452744765
424,0.219577844,0.437862109,0.403546404,0.461092247
425,0.217027908,0.432068366,0.406978407,0.458828523
426,0.231902536,0.437427578,0.403117403,0.456564799
427,0.219011191,0.425405562,0.401544402,0.4483588
428,0.21801955,0.429461182,0.402402402,0.460526316
429,0.217027908,0.442931634,0.401115401,0.450339559
430,0.236010766,0.427723059,0.403260403,0.456281834
431,0.235869103,0.443945539,0.4004004,0.459535937
432,0.217311234,0.448580533,0.404690405,0.458545557
433,0.211361383,0.450173812,0.405119405,0.45713073
434,0.224677716,0.434530707,0.401687402,0.460526316
435,0.218869528,0.432358053,0.404833405,0.454584041
436,0.219577844,0.447421784,0.402259402,0.460526316
437,0.223119422,0.404403244,0.401973402,0.452037351
438,0.216602918,0.443511008,0.402688403,0.460809281
439,0.21575294,0.424536501,0.398684399,0.461941143
440,0.215469613,0.451332561,0.406120406,0.45401811
441,0.221277801,0.428881808,0.400972401,0.46745897
442,0.220852812,0.448725377,0.406835407,0.464629315
443,0.218586202,0.433082271,0.406835407,0.460526316
444,0.220427823,0.431199305,0.399399399,0.457979626
445,0.216461255,0.421494786,0.400972401,0.46590266
446,0.209803088,0.43424102,0.404261404,0.465761177
447,0.213627993,0.435979143,0.398684399,0.452886248
448,0.218302876,0.44278679,0.404690405,0.459677419
449,0.21121972,0.438006952,0.400543401,0.45147142
450,0.215469613,0.431054461,0.408551409,0.464063384
451,0.228785947,0.419756663,0.402545403,0.455008489
452,0.224536053,0.434530707,0.401258401,0.458121109
453,0.215186287,0.453070684,0.403689404,0.461658178
454,0.216602918,0.436123986,0.406835407,0.454725523
455,0.213627993,0.434965238,0.406549407,0.46279004
456,0.223544411,0.439600232,0.406692407,0.458121109
457,0.210369741,0.422508691,0.402688403,0.451046972
458,0.211078056,0.421060255,0.405691406,0.459111488
459,0.220852812,0.436123986,0.401687402,0.458970006
460,0.220994475,0.460602549,0.403546404,0.45713073
461,0.220711149,0.442641947,0.402259402,0.453310696
462,0.21986117,0.446552723,0.404976405,0.453452179
463,0.218869528,0.435399768,0.405548406,0.460950764
464,0.216744581,0.426419467,0.404118404,0.459818902
465,0.220852812,0.449304751,0.405405405,0.463214488
466,0.218727865,0.412949015,0.398827399,0.460950764
467,0.222977759,0.437572422,0.403689404,0.448641766
468,0.216461255,0.437282735,0.398684399,0.456989247
469,0.210511404,0.436558517,0.404690405,0.463921902
470,0.216886245,0.435399768,0.400829401,0.459535937
471,0.222411106,0.434965238,0.3999714,0.457555178
472,0.229777589,0.423957126,0.401544402,0.464629315
473,0.215044624,0.43061993,0.398970399,0.469722694
474,0.219294518,0.44278679,0.398827399,0.459535937
475,0.211928035,0.425550406,0.408122408,0.467741935
476,0.223827738,0.43467555,0.403260403,0.466893039
477,0.209094773,0.431199305,0.403832404,0.460809281
478,0.218161213,0.408748552,0.404118404,0.464912281
479,0.224111064,0.43424102,0.403689404,0.46434635
480,0.21348633,0.430330243,0.401830402,0.462365591
481,0.224536053,0.452056779,0.3999714,0.463638936
482,0.225527695,0.432937428,0.403546404,0.462082626
483,0.214761298,0.425550406,0.403832404,0.456281834
484,0.21759456,0.43061993,0.403403403,0.46024335
485,0.223261085,0.440034762,0.403832404,0.453452179
486,0.228785947,0.437862109,0.404118404,0.460667799
487,0.205553195,0.400782155,0.403975404,0.457555178
488,0.211078056,0.423812283,0.404547405,0.463497453
489,0.211786372,0.423377752,0.402688403,0.467600453
490,0.226661,0.429750869,0.40998141,0.451754386
491,0.226519337,0.440469293,0.407550408,0.459111488
492,0.210228078,0.439020857,0.402259402,0.443406904
493,0.214761298,0.436993048,0.405405405,0.461375212
494,0.212353025,0.419177289,0.405405405,0.457838144
495,0.224961043,0.449015064,0.401687402,0.459252971
